Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
3,3,3,3,3,17,17,17,17,17
3,3,3,3,3,17,17,17,17,17
2,7,2,2,13,18,23,29,2,2
1,3,4,13,15,18,1,20,22,3
2,4,9,17,22,16,5,7,5,13
1,6,9,12,15,2,2,2,24,27
1,2,3,16,23,2,4,6,23,20
1,1,2,16,20,2,3,1,32,22
1,1,2,16,20,2,3,1,32,22
1,1,11,1,1,1,1,21,32,30
1,1,1,1,22,25,5,5,23,16
1,1,1,4,7,12,18,24,30,2
1,2,2,0,0,4,6,8,34,43
1,2,2,2,6,9,18,18,24,18
1,0,2,15,22,1,2,3,33,21
2,2,3,3,5,11,16,16,21,21
3,4,0,10,0,16,7,22,10,28
0,7,1,0,0,1,28,1,33,29
0,0,2,3,10,15,17,17,18,18
0,0,0,8,11,14,17,20,17,13
1,3,5,7,9,13,16,18,15,13
3,4,5,17,3,19,3,19,3,24
2,2,2,2,19,19,2,24,26,2
1,5,9,13,17,19,15,11,7,3
0,0,0,2,20,18,2,24,32,2
0,0,8,0,3,0,31,9,9,40
1,0,2,2,11,12,24,24,0,24
0,0,4,5,17,16,25,0,0,33
4,8,12,15,19,22,4,5,5,6
1,1,1,1,0,0,24,24,24,24
3,3,6,13,15,17,4,15,15,9
3,4,4,4,6,8,11,11,23,26
3,5,1,9,17,13,15,19,11,7
0,0,0,0,0,6,16,21,26,31
1,0,0,18,18,3,3,3,32,22
3,3,3,7,7,6,6,15,30,20
3,3,3,3,11,11,16,21,26,3
1,1,2,11,3,26,2,27,26,1
1,1,10,12,9,18,2,2,20,25
1,0,0,0,0,0,10,27,29,33
5,5,10,15,20,25,5,5,5,5
2,1,5,20,4,20,4,20,4,20
1,5,8,12,13,1,26,30,2,2
0,1,1,16,21,3,2,1,32,23
0,1,1,20,22,4,5,6,10,31
3,6,8,10,13,0,25,29,3,3
1,1,16,2,2,21,2,2,26,27
0,0,1,2,3,6,8,15,25,40
2,3,4,6,8,9,18,20,12,18
1,3,5,13,17,2,14,16,17,12
0,0,0,0,0,0,0,33,33,34
0,0,0,0,5,20,20,20,20,15
1,1,1,15,16,13,3,1,21,28
2,2,2,11,11,11,26,31,2,2
2,2,2,7,11,14,17,17,15,13
1,1,6,10,12,12,15,16,13,14
0,4,6,9,12,15,18,0,18,18
0,0,1,16,21,2,25,3,29,3
0,1,4,10,5,15,25,10,0,30
6,8,11,14,17,20,6,6,6,6
1,1,2,18,19,2,4,3,30,20
0,0,0,0,0,0,25,25,25,25
4,8,9,11,3,2,5,2,27,29
2,5,8,10,13,2,26,30,2,2
1,1,1,1,9,9,1,21,26,30
1,1,1,1,1,10,15,10,34,26
1,1,2,1,1,11,11,11,26,35
1,1,1,1,5,17,17,17,20,20
4,4,4,4,4,22,13,22,21,2
5,4,12,12,14,20,3,3,5,22
1,1,1,13,1,1,22,27,32,1
0,0,0,0,0,15,17,0,33,35
0,2,0,0,16,6,19,25,0,32
1,1,1,13,15,19,22,24,2,2
0,1,1,1,12,15,18,20,17,15
2,4,6,8,10,12,14,18,14,12
0,1,3,5,7,10,13,16,20,25
1,1,2,9,11,13,16,18,15,14
1,1,2,16,21,3,2,1,32,21
